Source,Target,Weight
131,32,4
131,228,4
131,254,3
131,226,3
131,124,3
131,87,2
131,305,2
131,359,2
131,341,2
131,100,2
131,63,2
131,3,2
131,154,2
131,245,2
131,231,2
131,140,2
131,353,2
131,71,2
131,273,2
131,296,2
121,112,6
121,137,6
121,151,5
121,2,4
121,39,4
121,204,4
121,291,4
121,0,3
121,230,3
121,290,3
121,246,3
121,216,3
121,325,3
121,139,3
121,51,3
121,283,3
121,334,3
121,176,3
121,311,3
121,55,3
121,255,3
121,49,2
121,361,2
121,319,2
121,200,2
121,178,2
121,33,2
121,60,2
121,237,2
121,106,2
121,158,2
121,103,2
121,159,2
121,84,2
121,38,2
121,16,2
121,241,2
121,126,2
121,180,2
121,142,2
121,181,2
121,354,2
121,98,2
121,118,2
121,192,2
121,279,2
254,292,4
254,131,3
254,27,3
254,72,3
254,208,3
254,41,2
254,54,2
254,262,2
254,219,2
254,212,2
254,322,2
254,110,2
254,362,2
254,93,2
254,11,2
254,165,2
254,2,2
254,281,2
254,267,2
254,86,2
254,381,2
254,271,2
254,195,2
254,33,2
254,40,2
254,274,2
254,302,2
254,120,2
254,313,2
254,369,2
254,169,2
254,95,2
254,261,2
112,121,6
112,0,3
112,49,3
112,122,3
112,151,3
112,2,3
112,347,2
112,199,2
112,269,2
112,39,2
112,146,2
112,283,2
112,137,2
112,84,2
54,268,3
54,254,2
54,359,2
54,134,2
54,353,2
54,27,2
54,339,2
292,254,4
292,41,2
292,208,2
292,11,2
292,293,2
292,38,2
292,281,2
292,221,2
292,369,2
292,27,2
89,44,3
89,10,2
89,224,2
89,298,2
89,221,2
89,364,2
89,301,2
209,99,4
209,266,3
209,378,3
209,162,2
209,135,2
209,217,2
100,131,2
100,228,2
100,127,2
151,121,5
151,283,5
151,2,4
151,39,4
151,139,3
151,103,3
151,51,3
151,180,3
151,380,3
151,112,3
151,361,2
151,230,2
151,319,2
151,290,2
151,246,2
151,216,2
151,166,2
151,344,2
151,325,2
151,204,2
151,206,2
151,307,2
151,52,2
151,46,2
151,291,2
151,174,2
151,306,2
151,147,2
151,23,2
151,286,2
151,21,2
151,146,2
151,368,2
151,332,2
50,288,3
50,26,2
50,223,2
50,41,2
50,343,2
32,131,4
32,273,2
32,324,2
41,292,2
41,208,2
41,254,2
41,24,2
41,50,2
2,246,5
2,121,4
2,151,4
2,283,3
2,112,3
2,230,2
2,4,2
2,200,2
2,178,2
2,39,2
2,166,2
2,344,2
2,325,2
2,106,2
2,139,2
2,103,2
2,51,2
2,21,2
2,254,2
2,206,2
2,122,2
2,306,2
246,2,5
246,178,4
246,121,3
246,325,3
246,106,3
246,183,3
246,47,3
246,200,2
246,103,2
246,151,2
246,160,2
246,331,2
246,239,2
246,170,2
283,151,5
283,121,3
283,2,3
283,180,3
283,84,2
283,334,2
283,215,2
283,85,2
283,88,2
283,21,2
283,230,2
