Source,Target,Weight
125,292,4
125,109,4
125,80,3
125,58,3
125,213,3
125,35,2
125,317,2
125,148,2
125,228,2
125,45,2
125,25,2
125,137,2
125,355,2
125,298,2
125,287,2
125,39,2
125,294,2
125,57,2
125,276,2
125,144,2
149,29,6
149,194,6
149,263,5
149,324,4
149,154,4
149,67,4
149,111,4
149,233,3
149,374,3
149,345,3
149,79,3
149,157,3
149,260,3
149,32,3
149,115,3
149,12,3
149,219,3
149,69,3
149,100,3
149,197,3
149,161,3
149,373,2
149,129,2
149,72,2
149,331,2
149,306,2
149,88,2
149,9,2
149,31,2
149,163,2
149,359,2
149,93,2
149,87,2
149,189,2
149,102,2
149,13,2
149,269,2
149,7,2
149,160,2
149,303,2
149,92,2
149,152,2
149,208,2
149,70,2
149,48,2
149,339,2
80,230,4
80,125,3
80,156,3
80,343,3
80,338,3
80,94,2
80,121,2
80,166,2
80,19,2
80,335,2
80,258,2
80,301,2
80,288,2
80,268,2
80,172,2
80,313,2
80,324,2
80,319,2
80,15,2
80,127,2
80,322,2
80,316,2
80,23,2
80,88,2
80,141,2
80,179,2
80,289,2
80,304,2
80,252,2
80,358,2
80,361,2
80,151,2
80,64,2
29,149,6
29,233,3
29,373,3
29,310,3
29,263,3
29,324,3
29,250,2
29,34,2
29,253,2
29,154,2
29,266,2
29,12,2
29,194,2
29,189,2
121,74,3
121,80,2
121,148,2
121,226,2
121,294,2
121,156,2
121,286,2
230,80,4
230,94,2
230,338,2
230,172,2
230,167,2
230,102,2
230,319,2
230,188,2
230,358,2
230,156,2
283,330,3
283,101,2
283,43,2
283,5,2
283,188,2
283,158,2
283,244,2
81,202,4
81,372,3
81,267,3
81,136,2
81,332,2
81,174,2
45,125,2
45,109,2
45,105,2
263,149,5
263,12,5
263,324,4
263,154,4
263,32,3
263,93,3
263,115,3
263,160,3
263,22,3
263,29,3
263,129,2
263,374,2
263,72,2
263,345,2
263,79,2
263,157,2
263,371,2
263,90,2
263,260,2
263,67,2
263,170,2
263,216,2
263,159,2
263,150,2
263,111,2
263,114,2
263,91,2
263,195,2
263,24,2
263,181,2
263,8,2
263,266,2
263,212,2
263,49,2
333,191,3
333,120,2
333,235,2
333,94,2
333,293,2
292,125,4
292,276,2
292,206,2
94,230,2
94,338,2
94,80,2
94,360,2
94,333,2
324,79,5
324,149,4
324,263,4
324,12,3
324,29,3
324,374,2
324,155,2
324,331,2
324,306,2
324,154,2
324,371,2
324,90,2
324,260,2
324,163,2
324,32,2
324,93,2
324,115,2
324,8,2
324,80,2
324,170,2
324,310,2
324,91,2
79,324,5
79,306,4
79,149,3
79,260,3
79,163,3
79,146,3
79,239,3
79,331,2
79,93,2
79,263,2
79,365,2
79,285,2
79,192,2
79,251,2
12,263,5
12,149,3
12,324,3
12,160,3
12,189,2
12,219,2
12,380,2
12,56,2
12,21,2
12,8,2
12,374,2
12,55,2
12,367,2
12,24,2
12,29,2
12,111,2
12,212,2
374,149,3
374,184,2
374,324,2
374,371,2
374,90,2
374,67,2
374,263,2
374,380,2
374,56,2
374,21,2
374,208,2
374,367,2
374,24,2
374,12,2
374,78,2
2,229,3
2,191,2
2,372,2
2,245,2
218,89,2
347,128,6
238,147,2
194,149,6
194,197,3
194,29,2
191,333,3
191,379,2
191,172,2
191,2,2
191,315,2
191,139,2
191,14,2
53,265,3
53,325,3
53,235,2
53,82,2
252,52,2
252,120,2
252,1,2
252,80,2
131,71,2
131,6,2
131,247,2
331,149,2
331,324,2
331,79,2
331,163,2
331,120,2
331,236,2
331,65,2
331,16,2
260,149,3
260,79,3
260,324,2
260,306,2
260,93,2
260,115,2
260,263,2
260,161,2
260,150,2
260,310,2
260,212,2
120,1,3
120,333,2
120,331,2
120,236,2
120,68,2
120,243,2
120,252,2
1,120,3
1,143,2
1,167,2
1,252,2
102,149,2
102,342,2
102,230,2
330,283,3
330,222,2
160,93,3
160,263,3
160,12,3
160,295,2
160,170,2
160,149,2
160,22,2
160,159,2
160,150,2
160,111,2
160,114,2
160,91,2
160,195,2
160,181,2
160,32,2
160,133,2
160,212,2
147,238,2
83,241,3
83,122,2
83,321,2
83,346,2
83,231,2
83,18,2
188,41,2
188,321,2
188,346,2
188,241,2
188,283,2
188,109,2
188,196,2
188,230,2
51,268,2
51,207,2
51,135,2
51,281,2
342,102,2
342,217,2
342,59,2
342,172,2
325,53,3
325,106,2
325,382,2
266,383,2
266,320,2
266,373,2
266,29,2
266,263,2
266,109,2
383,266,2
383,109,2
383,370,2
202,81,4
202,372,2
